"","items"
"4616","{pork,tropical fruit,pip fruit,whole milk,whipped/sour cream,detergent,softener,napkins,shopping bags}"
"4617","{rolls/buns}"
"4618","{whipped/sour cream,rolls/buns}"
"4619","{soda,long life bakery product}"
"4620","{butter,sliced cheese,frozen meals,pastry,soda,fruit/vegetable juice,chocolate,specialty bar}"
"4621","{canned beer}"
"4622","{tropical fruit,whole milk,butter milk,UHT-milk,rolls/buns}"
"4623","{whole milk,beverages,bottled water,newspapers}"
"4624","{yogurt,soda,waffles}"
"4625","{sausage,yogurt,pastry,canned fish,shopping bags}"
"4626","{frankfurter,other vegetables,whole milk,butter,rolls/buns,margarine,Instant food products,canned beer,detergent}"
"4627","{meat,root vegetables,other vegetables,yogurt,whipped/sour cream,hard cheese,frozen fruits,ice cream,domestic eggs,sweet spreads,long life bakery product,shopping bags}"
"4628","{canned beer}"
"4629","{tropical fruit,berries,root vegetables,other vegetables,yogurt,cream cheese ,rolls/buns,soda,shopping bags}"
"4630","{yogurt,processed cheese,frozen vegetables,rolls/buns}"
"4631","{newspapers}"
"4632","{condensed milk,rolls/buns,sugar,coffee}"
"4633","{pip fruit}"
"4634","{coffee}"
"4635","{sausage,root vegetables,whole milk,butter milk,yogurt,rolls/buns,pastry}"
"4636","{whole milk,photo/film}"
"4637","{frankfurter,sausage,citrus fruit,pip fruit,margarine}"
"4638","{canned beer}"
"4639","{whole milk,butter,yogurt,beverages,dishes}"
"4640","{rolls/buns,soda}"
"4641","{pip fruit,rolls/buns}"
"4642","{canned beer}"
"4643","{citrus fruit,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,rolls/buns,pastry,jam,cat food}"
"4644","{butter,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,fruit/vegetable juice,newspapers}"
"4645","{tropical fruit,brown bread}"
"4646","{citrus fruit,dessert,photo/film}"
"4647","{citrus fruit,pip fruit,whole milk,margarine}"
"4648","{butter,sliced cheese,frozen meals,rolls/buns,brown bread,canned fruit,fruit/vegetable juice,long life bakery product}"
"4649","{seasonal products,photo/film}"
"4650","{brown bread}"
"4651","{newspapers}"
"4652","{tropical fruit,pip fruit,whole milk,curd,yogurt,brown bread,pastry,cereals}"
"4653","{rolls/buns,bottled water,soda}"
"4654","{sausage,rolls/buns,mustard,soda}"
"4655","{sausage,liquor (appetizer)}"
"4656","{whole milk,yogurt}"
"4657","{pip fruit,beverages,pastry,hygiene articles}"
"4658","{yogurt,bottled water}"
"4659","{yogurt,cream cheese ,rolls/buns}"
"4660","{sausage,citrus fruit,butter,domestic eggs,rolls/buns,margarine,soda}"
"4661","{citrus fruit,yogurt,hygiene articles}"
"4662","{UHT-milk,condensed milk,coffee,cling film/bags}"
"4663","{sausage,long life bakery product}"
"4664","{whole milk,brown bread,pastry,pasta,margarine,sugar,soda,canned beer}"
"4665","{citrus fruit,other vegetables,whole milk,mayonnaise,rolls/buns,waffles}"
"4666","{pork,citrus fruit,pip fruit,other vegetables,whole milk,pudding powder}"
"4667","{pip fruit,cream cheese ,cookware}"
"4668","{canned beer}"
"4669","{canned beer,newspapers}"
"4670","{dog food}"
"4671","{salty snack}"
"4672","{root vegetables,whipped/sour cream,oil,pet care}"
"4673","{meat,other vegetables,whole milk,rolls/buns,sugar,coffee,bottled water,fruit/vegetable juice}"
"4674","{whole milk,rolls/buns,brown bread,bottled water,bottled beer}"
"4675","{rolls/buns}"
"4676","{pork,root vegetables,pasta}"
"4677","{other vegetables,cake bar}"
"4678","{whole milk,shopping bags}"
"4679","{bottled water,soda}"
"4680","{sausage,citrus fruit,other vegetables,whipped/sour cream,frozen vegetables,margarine,bottled beer,hygiene articles}"
"4681","{beef,whole milk,curd,yogurt,hard cheese,domestic eggs,rolls/buns,white bread,oil,misc. beverages,cling film/bags,house keeping products}"
"4682","{organic sausage,turkey,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,dessert,butter milk,yogurt,cream cheese ,processed cheese,white bread,sauces,bottled beer,waffles,candy}"
"4683","{frozen meals,canned fruit}"
"4684","{mustard}"
"4685","{yogurt}"
"4686","{meat,pip fruit,dessert,processed cheese,domestic eggs,rolls/buns,white bread,brown bread,pastry,semi-finished bread,candy,cookware}"
"4687","{tropical fruit,root vegetables,other vegetables,whole milk,yogurt,soft cheese,domestic eggs,rolls/buns,margarine,mustard,bottled water}"
"4688","{pip fruit,yogurt}"
"4689","{rolls/buns,shopping bags}"
"4690","{root vegetables}"
"4691","{tropical fruit,berries,whipped/sour cream,rolls/buns,pickled vegetables,coffee,soda,long life bakery product}"
"4692","{whipped/sour cream,pastry,bottled water}"
"4693","{sausage,hamburger meat,citrus fruit,whole milk,yogurt,white bread}"
"4694","{frankfurter,sausage,rolls/buns,soda,liquor,shopping bags}"
"4695","{meat,root vegetables,other vegetables,whipped/sour cream,frozen meals,ice cream}"
"4696","{whole milk,canned beer}"
"4697","{chicken,pork,tropical fruit,whipped/sour cream,oil,coffee,soda,shopping bags}"
"4698","{long life bakery product,house keeping products}"
"4699","{cream cheese ,oil,canned beer,waffles,hygiene articles,candles}"
"4700","{whole milk,brown bread,bottled beer,newspapers}"
"4701","{citrus fruit,onions,beverages,margarine,bottled beer,napkins}"
"4702","{tropical fruit,brown bread,pastry}"
"4703","{sausage,hard cheese,rolls/buns,specialty fat,mustard,long life bakery product,seasonal products,napkins,dishes}"
"4704","{whole milk,coffee}"
"4705","{soups}"
"4706","{citrus fruit,pip fruit,root vegetables,whole milk,oil}"
"4707","{beef,root vegetables,other vegetables,frozen vegetables,ice cream,rolls/buns,sugar}"
"4708","{canned beer}"
"4709","{tropical fruit}"
"4710","{beverages,sauces,sweet spreads,pot plants}"
"4711","{canned beer}"
"4712","{meat,pork,tropical fruit,root vegetables,other vegetables}"
"4713","{cream cheese ,rolls/buns}"
"4714","{meat,other vegetables,whole milk,rolls/buns,shopping bags}"
"4715","{sausage,tropical fruit,pip fruit,curd,beverages,bottled beer}"
"4716","{frankfurter,sausage,tropical fruit,root vegetables,whole milk,sliced cheese,frozen vegetables,mustard,pickled vegetables,salty snack}"
"4717","{sausage,UHT-milk,bottled beer,kitchen towels}"
"4718","{whole milk,butter,sugar,bottled beer}"
"4719","{whole milk,soft cheese,sliced cheese,domestic eggs,rolls/buns}"
"4720","{frozen vegetables,frozen meals}"
"4721","{root vegetables,other vegetables,yogurt,flower (seeds)}"
"4722","{pip fruit,other vegetables,whole milk,yogurt,pasta,oil}"
"4723","{bottled water}"
"4724","{soda}"
"4725","{liver loaf,chicken,other vegetables,frozen vegetables,margarine,detergent,softener}"
"4726","{citrus fruit,pip fruit,whole milk,cream cheese ,sweet spreads,long life bakery product,cake bar,napkins}"
"4727","{dish cleaner}"
"4728","{citrus fruit,curd,UHT-milk}"
"4729","{ham,whole milk,rolls/buns}"
"4730","{hamburger meat,margarine,soda,bathroom cleaner}"
"4731","{pork,other vegetables,whole milk,frozen potato products,flour,oil}"
"4732","{nuts/prunes,other vegetables,rum}"
"4733","{canned beer}"
"4734","{sausage,rolls/buns}"
"4735","{rolls/buns,canned beer}"
"4736","{sausage,soda,specialty chocolate}"
"4737","{rolls/buns,Instant food products}"
"4738","{frozen vegetables,bottled water}"
"4739","{pip fruit,whole milk,white bread,brown bread,margarine,sweet spreads,fruit/vegetable juice,newspapers}"
"4740","{whole milk,fruit/vegetable juice}"
"4741","{frankfurter,other vegetables,whipped/sour cream,specialty cheese,domestic eggs,rolls/buns,hygiene articles,napkins}"
"4742","{other vegetables,soft cheese}"
"4743","{white bread,bottled beer,newspapers}"
"4744","{citrus fruit}"
"4745","{whole milk,rolls/buns,chewing gum}"
"4746","{frankfurter,sausage,berries,butter,yogurt,whipped/sour cream,cream cheese ,domestic eggs,margarine,shopping bags}"
"4747","{beverages,chocolate}"
"4748","{red/blush wine}"
"4749","{soda}"
"4750","{sausage,yogurt,pastry,cat food}"
"4751","{finished products,candy}"
"4752","{pastry,oil,bottled beer,chocolate,specialty chocolate}"
"4753","{specialty chocolate,photo/film}"
"4754","{tropical fruit,pip fruit,root vegetables,liquor,detergent,dishes,newspapers}"
"4755","{bottled beer,white wine}"
"4756","{skin care,napkins}"
"4757","{condensed milk,rolls/buns}"
"4758","{root vegetables,canned beer}"
"4759","{pip fruit,whole milk,ready soups,canned fish,soda}"
"4760","{root vegetables,other vegetables,whole milk,soups,bottled beer}"
"4761","{sausage,whole milk,frozen vegetables,frozen meals,domestic eggs,rolls/buns,fruit/vegetable juice,cake bar}"
"4762","{bottled beer}"
"4763","{brown bread,canned beer,detergent,softener}"
"4764","{hard cheese,Instant food products}"
"4765","{soda}"
"4766","{soda,bottled beer,liquor,red/blush wine,napkins}"
"4767","{whole milk,butter,cat food}"
"4768","{frankfurter,rolls/buns}"
"4769","{tropical fruit,pip fruit,sugar,napkins,cling film/bags,shopping bags}"
"4770","{liver loaf,root vegetables,onions,UHT-milk,cream cheese ,soda,flower (seeds)}"
"4771","{yogurt,fruit/vegetable juice}"
"4772","{soda,long life bakery product}"
"4773","{root vegetables,other vegetables,yogurt,baking powder,brandy,shopping bags}"
"4774","{hamburger meat,tropical fruit,other vegetables,whole milk,butter,yogurt,whipped/sour cream,hard cheese,white bread,Instant food products,tea,soda,bottled beer,specialty bar}"
"4775","{pip fruit,butter milk,soda}"
"4776","{bottled beer}"
"4777","{pip fruit,soda,chewing gum}"
"4778","{tropical fruit,butter,rolls/buns,canned fish,dog food,shopping bags}"
"4779","{dessert,waffles}"
"4780","{whole milk,rolls/buns,pastry,newspapers}"
"4781","{liver loaf,root vegetables,other vegetables,whole milk,frozen vegetables,margarine}"
"4782","{frankfurter,whole milk,rolls/buns,salt}"
"4783","{dessert}"
"4784","{root vegetables,other vegetables,whole milk,frozen fish,honey,Instant food products,canned fish,dishes}"
"4785","{cream cheese ,instant coffee,salty snack,waffles,kitchen towels,shopping bags}"
"4786","{canned beer}"
"4787","{whole milk,pastry}"
"4788","{rolls/buns,dishes}"
"4789","{canned beer}"
"4790","{sausage,yogurt,rolls/buns}"
"4791","{canned beer}"
"4792","{liquor}"
"4793","{yogurt}"
"4794","{soups,canned vegetables,chocolate}"
"4795","{whole milk,yogurt,cream cheese ,rolls/buns,roll products ,chocolate}"
"4796","{sausage,pickled vegetables,soda,skin care,shopping bags}"
"4797","{rolls/buns,pastry,sugar}"
"4798","{pork,pip fruit,packaged fruit/vegetables,dessert,frozen vegetables,pasta,margarine,chocolate marshmallow,detergent,softener}"
"4799","{curd,soda,cake bar}"
"4800","{rolls/buns,coffee}"
"4801","{frankfurter,whole milk,butter,dessert}"
"4802","{bottled water}"
"4803","{soda}"
"4804","{meat,frozen meals,fruit/vegetable juice}"
"4805","{turkey,tropical fruit,yogurt,rolls/buns}"
"4806","{coffee}"
"4807","{rolls/buns,red/blush wine}"
"4808","{citrus fruit,specialty fat}"
"4809","{canned beer}"
"4810","{pastry}"
"4811","{frozen meals}"
"4812","{whipped/sour cream,frozen vegetables,frozen meals}"
"4813","{rolls/buns,brown bread}"
"4814","{soda,bottled beer,liquor,red/blush wine}"
"4815","{spread cheese,white bread,newspapers}"
"4816","{whole milk,curd,dessert,misc. beverages,chocolate marshmallow,cling film/bags,house keeping products,newspapers}"
"4817","{root vegetables,soft cheese}"
"4818","{frankfurter,butter,brown bread}"
"4819","{bottled beer,liquor}"
"4820","{soda}"
"4821","{other vegetables,whole milk,dessert,sliced cheese,hard cheese,oil,coffee,soda,fruit/vegetable juice,seasonal products}"
"4822","{curd,yogurt}"
"4823","{pip fruit,soda}"
"4824","{instant coffee,photo/film}"
"4825","{frankfurter}"
"4826","{beef,yogurt,cream cheese ,frozen meals,cat food,newspapers}"
"4827","{curd,UHT-milk,bottled water}"
"4828","{hamburger meat,whole milk,curd,dessert,rolls/buns,oil,spices,sauces,soda,cake bar,napkins,shopping bags}"
"4829","{citrus fruit,root vegetables,onions,whole milk,brown bread}"
"4830","{rolls/buns,soda,chewing gum}"
"4831","{bottled beer}"
"4832","{pork,tropical fruit}"
"4833","{cream cheese ,ice cream,pastry,specialty chocolate,rubbing alcohol}"
"4834","{tropical fruit,pip fruit,whole milk,pastry}"
"4835","{beverages}"
"4836","{pork,root vegetables,brown bread,pastry}"
"4837","{sausage,pork,whole milk,pastry}"
"4838","{yogurt,canned beer,dishes}"
"4839","{meat,finished products,other vegetables,rolls/buns,brown bread,soda,white wine}"
"4840","{tropical fruit,brown bread,specialty bar}"
"4841","{hamburger meat,other vegetables,whole milk,cream,oil,sugar,baking powder,canned beer,baby cosmetics}"
"4842","{root vegetables,other vegetables,yogurt,rolls/buns,bottled water,chocolate,napkins}"
"4843","{chicken,whole milk,whipped/sour cream,rolls/buns,white bread,fruit/vegetable juice,popcorn,photo/film}"
"4844","{dessert,brown bread}"
"4845","{coffee}"
"4846","{pip fruit,condensed milk,sugar,coffee,bottled water,long life bakery product}"
"4847","{sausage,other vegetables,salt,male cosmetics,newspapers}"
"4848","{sausage,other vegetables,whole milk,yogurt,soda}"
"4849","{whole milk,butter milk,yogurt,rolls/buns,white bread,mustard,pickled vegetables,sweet spreads,canned fish,soda,misc. beverages,long life bakery product,specialty chocolate,shopping bags}"
"4850","{citrus fruit,misc. beverages}"
"4851","{bottled water}"
"4852","{pastry}"
"4853","{sausage,rolls/buns,newspapers,shopping bags}"
"4854","{sausage,soft cheese,bottled beer}"
"4855","{whole milk,rolls/buns,syrup}"
"4856","{liver loaf,whole milk,yogurt,condensed milk,specialty cheese,white bread}"
"4857","{bottled water}"
"4858","{beef}"
"4859","{pet care,bottled beer}"
"4860","{meat,citrus fruit,pip fruit,root vegetables,bottled water}"
"4861","{cookware}"
"4862","{bottled beer}"
"4863","{whole milk,processed cheese,spread cheese,rolls/buns}"
"4864","{frozen meals,white bread,fruit/vegetable juice}"
"4865","{dessert,yogurt,cat food,napkins}"
"4866","{grapes,other vegetables,soda,canned beer}"
"4867","{rolls/buns,sugar,coffee,soda}"
"4868","{sausage,meat,pip fruit,other vegetables,salty snack,napkins}"
"4869","{sausage,beverages,rolls/buns}"
"4870","{butter,napkins}"
"4871","{chicken,fruit/vegetable juice,long life bakery product}"
"4872","{whole milk,bottled water,rum,waffles}"
"4873","{rolls/buns}"
"4874","{rolls/buns,soda,snack products}"
"4875","{citrus fruit,berries,yogurt,bottled water,soda,fruit/vegetable juice,chocolate,specialty bar,shopping bags}"
"4876","{rolls/buns,pastry,coffee}"
"4877","{pasta,sauces}"
"4878","{sausage,pork,sliced cheese,frozen potato products,white bread,soda,waffles}"
"4879","{tropical fruit,pip fruit,grapes,packaged fruit/vegetables,coffee}"
"4880","{waffles,chocolate,specialty chocolate}"
"4881","{citrus fruit,tropical fruit,baking powder,fruit/vegetable juice,waffles,specialty bar,candles,flower (seeds)}"
"4882","{pasta,specialty chocolate,dishes}"
"4883","{semi-finished bread,bottled beer,liquor}"
"4884","{beef,spread cheese,domestic eggs,cat food,white wine,shopping bags}"
"4885","{whole milk}"
"4886","{candy}"
"4887","{bottled water}"
"4888","{whole milk,white bread,pet care,bottled water,softener}"
"4889","{bottled beer}"
"4890","{yogurt,frozen dessert}"
"4891","{whole milk,coffee,cooking chocolate,newspapers}"
"4892","{sausage,ham,soft cheese,hard cheese,coffee,soda,long life bakery product,chocolate}"
"4893","{other vegetables,UHT-milk,semi-finished bread,margarine,canned vegetables,bottled water,cake bar,shopping bags}"
"4894","{tropical fruit,yogurt,beverages}"
"4895","{coffee,sparkling wine,dish cleaner}"
"4896","{root vegetables,brown bread,mustard,cat food,canned beer}"
"4897","{frankfurter,pork,other vegetables,whole milk,butter,brown bread,semi-finished bread,pet care,canned beer,waffles,hygiene articles,newspapers}"
"4898","{ham,dessert,yogurt,processed cheese,soda}"
"4899","{pip fruit,whole milk,beverages,domestic eggs,white bread}"
"4900","{yogurt,sugar,shopping bags}"
"4901","{meat,whole milk,rolls/buns}"
"4902","{soda,bathroom cleaner}"
"4903","{pork,onions,domestic eggs,pastry,soda,shopping bags}"
"4904","{whole milk,frozen vegetables}"
"4905","{bottled beer}"
"4906","{bottled water}"
"4907","{specialty bar,house keeping products}"
"4908","{berries,yogurt,whipped/sour cream}"
"4909","{dessert,soda}"
"4910","{ham,onions,herbs,sparkling wine}"
"4911","{pork,tropical fruit,hard cheese,margarine,soda,bottled beer,napkins}"
"4912","{cat food,white wine}"
"4913","{whole milk,brown bread,margarine,soda,bottled beer}"
